Object,Neighbor,Distance
1,2,14.866069
2,1,14.866069
5,7,6.703968
7,5,6.703968
11,12,9.3590555
12,11,9.3590555
12,13,10.858309
13,12,10.858309
19,29,14.112358
21,31,14.637107
25,32,13.092871
29,19,14.112358
29,44,14.700424
31,35,12.425287
31,21,14.637107
32,25,13.092871
35,31,12.425287
44,29,14.700424
49,53,12.983023
52,62,7.3735194
53,63,9.294876
53,49,12.983023
62,52,7.3735194
63,53,9.294876
73,78,14.959618
77,88,12.471305
78,73,14.959618
84,92,11.119477
84,86,13.239118
86,84,13.239118
87,97,9.919824
88,77,12.471305
88,99,10.834228
92,84,11.119477
93,102,14.771636
97,101,7.725877
97,87,9.919824
99,88,10.834228
101,97,7.725877
102,93,14.771636
112,116,14.504425
114,123,9.906774
114,125,11.941408
114,121,13.703124
116,112,14.504425
119,130,14.5248375
119,120,7.114052
120,119,7.114052
120,130,11.46571
121,123,14.23405
121,125,7.515708
121,114,13.703124
123,125,7.531281
123,114,9.906774
123,121,14.23405
125,114,11.941408
125,121,7.515708
125,123,7.531281
126,138,13.278108
126,133,9.94167
126,131,14.650719
127,131,11.223916
130,120,11.46571
130,119,14.5248375
131,127,11.223916
131,126,14.650719
131,133,7.5061626
133,126,9.94167
133,131,7.5061626
133,138,9.994272
138,133,9.994272
138,126,13.278108
143,145,8.574637
143,166,11.864831
143,164,10.720345
145,166,9.712007
145,143,8.574637
150,163,6.9748664
151,174,11.425463
152,171,9.71663
158,176,10.643528
163,150,6.9748664
164,143,10.720345
164,166,10.1468
166,145,9.712007
166,143,11.864831
166,164,10.1468
167,169,10.658644
168,173,13.883623
169,179,13.578464
169,167,10.658644
171,152,9.71663
171,178,8.858149
173,168,13.883623
174,151,11.425463
176,184,9.850577
176,158,10.643528
178,187,13.494068
178,171,8.858149
179,169,13.578464
184,197,14.095758
184,176,9.850577
187,178,13.494068
189,198,8.9338665
197,184,14.095758
198,189,8.9338665
203,209,11.058114
206,218,7.596761
209,203,11.058114
212,217,5.9577284
215,234,12.188804
217,220,9.68952
217,212,5.9577284
218,206,7.596761
220,217,9.68952
223,237,14.848636
225,227,8.844123
227,225,8.844123
231,239,14.998834
234,215,12.188804
237,223,14.848636
239,231,14.998834
241,264,9.722115
243,266,9.429624
243,250,5.93556
250,243,5.93556
250,266,8.74134
253,279,13.7045765
256,270,12.036468
258,260,6.1176553
260,258,6.1176553
261,274,7.138226
264,241,9.722115
266,250,8.74134
266,243,9.429624
267,287,13.2336235
270,256,12.036468
272,305,14.829677
272,284,13.277039
274,261,7.138226
274,292,9.857392
276,295,12.713045
277,285,10.893247
279,253,13.7045765
281,288,5.0029716
284,272,13.277039
285,277,10.893247
287,267,13.2336235
288,281,5.0029716
292,274,9.857392
292,311,12.209898
294,317,13.387327
295,276,12.713045
298,320,13.762215
298,306,11.17506
299,315,8.706915
304,309,12.95675
305,272,14.829677
306,320,7.9499164
306,298,11.17506
309,304,12.95675
310,322,8.083666
311,292,12.209898
311,337,13.69209
315,299,8.706915
317,294,13.387327
318,327,13.36208
320,298,13.762215
320,306,7.9499164
321,348,14.910444
322,310,8.083666
323,332,5.5289392
324,328,4.73229
327,318,13.36208
328,324,4.73229
332,323,5.5289392
333,347,8.64996
337,346,8.45922
337,311,13.69209
341,349,11.811519
345,361,8.8818
346,337,8.45922
346,368,14.50077
347,333,8.64996
348,366,11.241487
348,321,14.910444
349,341,11.811519
349,373,11.94387
351,367,10.577564
355,372,11.609868
361,345,8.8818
366,348,11.241487
367,370,7.483589
367,351,10.577564
368,346,14.50077
369,371,8.607967
370,367,7.483589
371,369,8.607967
372,355,11.609868
373,349,11.94387
376,386,10.48783
386,376,10.48783
387,404,14.731264
395,411,14.192459
397,405,6.9214363
400,410,14.296302
403,423,14.335367
404,387,14.731264
405,397,6.9214363
410,400,14.296302
411,395,14.192459
416,421,12.385166
421,416,12.385166
423,403,14.335367
430,433,10.094332
433,430,10.094332
437,443,11.559315
441,459,9.715125
443,437,11.559315
449,467,9.40477
449,470,12.30155
453,456,10.081655
455,457,8.5657625
456,453,10.081655
457,455,8.5657625
459,441,9.715125
466,481,11.24948
467,449,9.40477
467,470,5.788661
467,478,12.07759
467,479,7.8328934
470,467,5.788661
470,479,7.45845
470,478,7.6054993
470,449,12.30155
478,470,7.6054993
478,479,7.19161
478,493,8.090272
478,467,12.07759
479,478,7.19161
479,467,7.8328934
479,493,11.796462
479,470,7.45845
481,466,11.24948
487,521,12.626109
487,498,14.678247
493,479,11.796462
493,478,8.090272
493,513,7.032999
494,515,6.5868
498,487,14.678247
501,505,7.234809
505,501,7.234809
507,508,14.42274
508,507,14.42274
510,535,12.889723
513,493,7.032999
515,494,6.5868
516,520,7.6468153
517,543,13.894446
517,528,8.345729
520,516,7.6468153
521,487,12.626109
522,524,12.689432
524,522,12.689432
528,543,10.033068
528,517,8.345729
532,536,10.062182
535,557,14.857075
535,540,7.9889007
535,510,12.889723
535,548,9.106452
536,532,10.062182
540,557,9.768866
540,535,7.9889007
540,548,6.2035933
543,517,13.894446
543,528,10.033068
544,565,11.123397
546,547,12.358832
547,546,12.358832
548,535,9.106452
548,540,6.2035933
548,570,12.04808
548,557,5.8303933
551,569,14.162342
552,568,12.319913
554,571,9.6241045
557,548,5.8303933
557,540,9.768866
557,535,14.857075
557,570,6.225449
561,588,14.303727
565,544,11.123397
565,587,11.777246
568,552,12.319913
569,551,14.162342
570,548,12.04808
570,583,10.485996
570,557,6.225449
571,554,9.6241045
574,579,7.8668513
576,593,10.625372
579,574,7.8668513
581,602,11.758475
583,570,10.485996
583,594,7.3021803
583,591,14.462205
587,565,11.777246
588,561,14.303727
589,624,12.933756
591,583,14.462205
591,594,7.7846375
593,576,10.625372
594,591,7.7846375
594,583,7.3021803
597,625,14.381955
600,622,12.828695
602,581,11.758475
602,627,14.507384
604,623,11.420594
610,619,7.684498
613,639,10.002524
618,630,8.509041
619,610,7.684498
620,637,12.775456
622,600,12.828695
622,640,8.410777
623,604,11.420594
624,589,12.933756
625,634,10.368889
625,597,14.381955
627,602,14.507384
630,618,8.509041
634,643,7.4201894
634,625,10.368889
637,658,7.509213
637,651,8.715862
637,620,12.775456
639,613,10.002524
640,622,8.410777
643,634,7.4201894
643,674,11.384115
651,637,8.715862
651,658,6.2886486
657,685,13.821863
658,651,6.2886486
658,637,7.509213
666,683,11.196052
671,678,12.319815
674,643,11.384115
678,671,12.319815
678,698,12.462347
681,712,11.417206
683,666,11.196052
684,695,5.623812
685,657,13.821863
694,719,13.033071
695,684,5.623812
697,718,13.235121
698,678,12.462347
699,711,5.295662
701,721,13.15127
701,724,10.275218
705,725,13.744042
711,699,5.295662
712,740,12.696979
712,681,11.417206
717,737,10.239198
718,697,13.235121
719,694,13.033071
720,753,14.858701
721,701,13.15127
721,724,11.012374
723,731,4.5364
724,701,10.275218
724,721,11.012374
725,705,13.744042
725,742,6.476483
731,723,4.5364
733,759,8.545248
734,765,11.681037
737,717,10.239198
740,773,14.862399
740,712,12.696979
742,725,6.476483
742,769,10.037977
751,788,12.70075
753,720,14.858701
753,772,10.013817
753,781,11.081197
758,760,5.3486814
759,733,8.545248
759,771,11.98409
760,758,5.3486814
762,791,13.324504
762,782,7.1538877
765,734,11.681037
765,780,6.3106856
769,742,10.037977
771,759,11.98409
772,781,14.708545
772,753,10.013817
773,740,14.862399
774,819,14.395336
774,792,7.2717505
779,810,9.877863
780,765,6.3106856
781,753,11.081197
781,772,14.708545
782,762,7.1538877
782,791,11.519795
783,817,11.650559
784,789,9.102137
788,751,12.70075
789,784,9.102137
789,799,7.8895187
791,782,11.519795
791,762,13.324504
792,819,8.191735
792,774,7.2717505
793,814,8.871092
798,831,13.244322
799,789,7.8895187
800,830,14.29271
809,812,14.3735485
810,779,9.877863
812,809,14.3735485
814,793,8.871092
817,783,11.650559
819,774,14.395336
819,792,8.191735
822,842,10.097197
823,839,7.6032324
827,846,10.151834
830,800,14.29271
831,798,13.244322
831,835,11.034481
835,831,11.034481
839,823,7.6032324
840,867,12.76454
840,853,12.76257
842,822,10.097197
844,856,9.559174
846,827,10.151834
851,855,12.534773
853,840,12.76257
855,851,12.534773
856,844,9.559174
859,890,12.136896
861,881,9.295998
867,840,12.76454
869,909,14.994976
872,891,8.659125
874,893,8.961487
876,912,12.849772
881,861,9.295998
885,919,14.523165
886,913,8.457356
886,925,14.42001
890,859,12.136896
891,905,14.780883
891,872,8.659125
892,931,14.927675
