Object,Neighbor,Distance
5,11,13.095819
8,15,14.354826
8,16,14.734686
9,10,13.666943
10,9,13.666943
11,5,13.095819
15,8,14.354826
16,8,14.734686
64,67,10.831316
64,77,13.499909
67,71,8.050507
67,64,10.831316
68,76,9.072556
70,74,14.485829
70,78,9.95079
71,67,8.050507
74,70,14.485829
76,68,9.072556
77,64,13.499909
78,70,9.95079
86,94,11.2614975
94,86,11.2614975
95,102,13.978957
95,99,7.252895
99,95,7.252895
102,95,13.978957
107,117,13.62564
115,128,13.388604
117,107,13.62564
125,126,13.563764
126,125,13.563764
128,115,13.388604
131,132,12.22685
132,131,12.22685
132,136,14.76817
136,132,14.76817
138,150,13.581506
150,138,13.581506
156,167,12.807243
167,156,12.807243
169,189,14.085945
175,184,13.295535
179,190,6.545677
184,175,13.295535
189,169,14.085945
190,179,6.545677
200,203,10.965794
203,200,10.965794
208,215,14.420428
215,208,14.420428
226,242,14.758484
242,226,14.758484
244,249,10.765498
244,258,10.658107
245,256,11.7378235
245,262,13.649498
249,244,10.765498
249,257,13.178598
254,283,10.26132
255,260,11.342216
255,277,13.044292
256,262,13.054252
256,245,11.7378235
257,249,13.178598
258,244,10.658107
258,260,10.559671
260,258,10.559671
260,255,11.342216
262,256,13.054252
262,245,13.649498
263,293,13.200617
264,287,13.810591
275,279,14.4564085
277,255,13.044292
278,286,14.080819
279,275,14.4564085
280,287,13.749421
283,254,10.26132
285,294,5.5577073
286,278,14.080819
287,280,13.749421
287,264,13.810591
293,263,13.200617
294,285,5.5577073
294,299,12.065358
299,294,12.065358
299,313,11.902951
300,331,14.901968
306,329,14.953217
313,299,11.902951
322,329,12.975188
329,306,14.953217
329,322,12.975188
331,300,14.901968
337,345,11.23382
339,350,8.886005
345,337,11.23382
350,339,8.886005
361,380,14.701968
373,384,13.459415
373,382,11.682328
375,393,11.914666
379,390,14.78473
380,361,14.701968
382,373,11.682328
382,384,10.823191
382,409,14.614932
384,373,13.459415
384,409,14.689647
384,382,10.823191
390,379,14.78473
393,396,12.336989
393,375,11.914666
394,422,14.262269
396,393,12.336989
409,384,14.689647
409,382,14.614932
422,394,14.262269
425,447,14.848427
427,452,14.905267
430,459,14.103884
442,450,12.941359
447,425,14.848427
447,473,14.726188
450,442,12.941359
450,471,13.216192
452,427,14.905267
459,430,14.103884
470,496,13.349924
471,450,13.216192
471,490,14.89155
473,447,14.726188
