Object,Neighbor,Distance
3122,3084,10.6797
3135,3188,13.311568
3144,3169,13.490417
3158,3179,12.326495
3162,3197,14.289796
3164,3217,12.004081
3166,3218,11.535668
3166,3189,7.305967
3166,3180,7.153159
3169,3225,12.148319
3169,3144,13.490417
3179,3158,12.326495
3180,3166,7.153159
3180,3189,11.623976
3180,3218,12.800252
3181,3207,9.343729
3182,3230,13.915887
3188,3135,13.311568
3189,3218,5.7087197
3189,3166,7.305967
3189,3180,11.623976
3197,3162,14.289796
3207,3181,9.343729
3208,3274,12.985633
3208,3229,14.730933
3217,3164,12.004081
3218,3180,12.800252
3218,3166,11.535668
3218,3189,5.7087197
3225,3244,12.558618
3225,3169,12.148319
3225,3288,12.962787
3229,3274,11.704258
3229,3208,14.730933
3230,3182,13.915887
3242,3311,14.184483
3244,3225,12.558618
3251,3317,14.070319
3268,3314,13.242433
3274,3208,12.985633
3274,3229,11.704258
3288,3225,12.962787
3295,3338,14.640424
3307,3310,14.05188
3310,3307,14.05188
3311,3242,14.184483
3314,3268,13.242433
3317,3251,14.070319
3326,3333,11.884609
3333,3326,11.884609
3338,3295,14.640424
3364,3401,13.924049
3366,3416,12.974403
3369,3409,10.3306
3398,3432,10.45997
3398,3436,14.197785
3398,3453,14.758331
3398,3423,12.635069
3401,3364,13.924049
3409,3458,12.046316
3409,3369,10.3306
3416,3366,12.974403
3419,3444,11.18773
3423,3398,12.635069
3423,3432,13.330388
3423,3453,14.279446
3432,3423,13.330388
3432,3453,4.596362
3432,3398,10.45997
3432,3436,5.415434
3435,3466,14.186797
3436,3472,13.122994
3436,3453,6.5408354
3436,3432,5.415434
3436,3398,14.197785
3441,3471,14.403447
3444,3419,11.18773
3453,3398,14.758331
3453,3423,14.279446
3453,3436,6.5408354
3453,3432,4.596362
3458,3409,12.046316
3466,3435,14.186797
3471,3441,14.403447
3472,3436,13.122994
3491,3526,10.020096
3500,3549,13.829796
3512,3548,10.663933
3526,3491,10.020096
3548,3578,9.0829315
3548,3512,10.663933
3549,3500,13.829796
3551,3609,14.717825
3578,3548,9.0829315
3581,3630,14.370035
3600,3638,9.951319
3609,3551,14.717825
3630,3581,14.370035
3638,3600,9.951319
3664,3675,12.954965
3675,3664,12.954965
3676,3719,13.571459
3691,3710,13.341566
3691,3727,13.891386
3703,3757,14.512761
3710,3691,13.341566
3719,3676,13.571459
3727,3691,13.891386
3744,3766,14.748642
3757,3703,14.512761
3766,3744,14.748642
3779,3843,12.510581
3783,3823,7.839669
3820,3824,14.926447
3823,3783,7.839669
3824,3820,14.926447
3838,3878,11.748886
3839,3886,14.058501
3839,3864,11.088056
3843,3779,12.510581
3864,3839,11.088056
3864,3898,10.124445
3870,3893,12.002846
3878,3923,12.799545
3878,3838,11.748886
3886,3839,14.058501
3893,3870,12.002846
3898,3864,10.124445
3901,3908,10.539716
3908,3901,10.539716
3920,3923,11.89709
3923,3878,12.799545
3923,3920,11.89709
3947,3968,11.639295
3960,3972,14.721504
3968,3947,11.639295
3972,3960,14.721504
3974,3998,13.475301
3985,4004,8.077131
3998,3974,13.475301
3998,4026,14.921129
4004,3985,8.077131
4004,4040,11.090414
4026,3998,14.921129
4027,4057,12.140009
4040,4004,11.090414
4045,4084,14.654025
4057,4027,12.140009
4058,4071,8.996811
4065,4090,7.247689
4071,4058,8.996811
4074,4075,14.220738
4075,4074,14.220738
4084,4045,14.654025
4090,4130,11.565561
4090,4065,7.247689
4120,4139,13.920274
4125,4138,12.048361
4130,4090,11.565561
4136,4166,14.126115
4138,4125,12.048361
4139,4120,13.920274
4141,4145,10.129371
4141,4186,13.536255
4145,4141,10.129371
4166,4136,14.126115
4186,4141,13.536255
4191,4244,14.892931
4217,4247,9.312973
4228,4245,7.396654
4244,4245,11.83316
4244,4191,14.892931
4245,4244,11.83316
4245,4228,7.396654
4247,4217,9.312973
4265,4305,11.522512
4265,4287,7.584412
4265,4283,14.307182
4265,4317,14.6133375
4283,4287,8.736558
4283,4317,9.359685
4283,4265,14.307182
4287,4317,7.135119
4287,4331,11.476995
4287,4305,10.279314
4287,4283,8.736558
4287,4265,7.584412
4300,4342,11.029592
4305,4331,8.915419
4305,4265,11.522512
4305,4287,10.279314
4305,4317,12.251532
4315,4350,11.998528
4317,4331,7.4974947
4317,4287,7.135119
4317,4283,9.359685
4317,4265,14.6133375
4317,4305,12.251532
4319,4383,12.831918
4327,4376,14.847899
4331,4287,11.476995
4331,4305,8.915419
4331,4317,7.4974947
4342,4300,11.029592
4350,4315,11.998528
4353,4399,14.340075
4369,4400,6.3567147
4376,4327,14.847899
4377,4385,4.9679527
4383,4319,12.831918
4385,4377,4.9679527
4399,4353,14.340075
4400,4369,6.3567147
4422,4452,13.167679
4425,4469,14.670133
4437,4455,8.568662
4452,4422,13.167679
4455,4437,8.568662
4469,4425,14.670133
4475,4525,10.530486
4483,4545,14.368471
4484,4516,14.630296
4506,4539,9.269812
4516,4484,14.630296
4520,4577,14.51193
4525,4475,10.530486
4539,4506,9.269812
4542,4571,12.25066
4544,4548,12.7166395
4545,4483,14.368471
4548,4544,12.7166395
4571,4542,12.25066
4572,4585,14.436458
4577,4520,14.51193
4585,4572,14.436458
4615,4664,14.50621
4630,4675,13.279344
4633,4690,13.239041
4647,4691,13.79806
4664,4615,14.50621
4675,4630,13.279344
4690,4633,13.239041
4691,4647,13.79806
4719,4747,13.906583
